Rank;Company
49;LVMH Louis Vuitton Moet Hennessy
52;BBVA-Banco Bilbao Vizcaya
61;Intesa Sanpaolo Assicura
140;Westpac Banking Group
278;RWE Group
379;ORLEN Spolka Akcyjna
526;OMV Group
527;Muyuan Foodstuff
594;Grupa PZU
646;CEZ Group
669;Saudi British Bank
685;VakifBank
804;Grupo Inbursa
816;Mashreq Bank
842;Mitsubishi UFJ Lease
853;Power Grid of India
869;Chongqing Rural Bank
920;Grupo Galicia
931;Greenland Holdings Group
948;Wen's Foodstuff Group
979;Attijariwafa Bank
1047;Shin Kong Financial
1109;Bâloise Group
1111;Modon Holding PSC
1116;Top Frontier Investment Holdings
1145;NARI Technology Development
1168;BCI-Banco Credito
1187;ThyssenKrupp Group
1255;arGEN-X
1313;Rede D'Oro Luiz
1344;Taishin Financial Holdings
1432;Jiangsu Yanghe Brewery
1460;Commercial Bank of Qatar
1479;Commercial Bank Dubai
1507;Brookfield Renewable Holdings
1555;Chang Hwa Bank
1559;Xiamen International Trade Group
1630;Vietnam Prosperity Joint-sock Commercial Bank
1667;Zheshang Development Group
1683;Tingyi Holding
1685;Chandra Asri Petrochemical
1722;Latour Ab Investment
1730;BG Financial Group
1744;Coca-Cola Bottling Consolidated
1770;Saab Group
1796;Bank Muscat
1800;AVIC Capital
1812;Banque Centrale Populaire
1878;Will Semiconductor
1886;AmBank Group
1912;PT Adaro Energy Indonesia
1929;International Distributions Services
1939;Prologis Property Mexico
1986;Pt Adaro Andalan Indonesia
1992;Hisense Kelon Electrical Holdings
